date,id,ecosystem,pref,suff,gas,flux,units,estimate,p.value,air_temp,soil_temp,soil_moisture,eco,photo
2023-06-07,NWd 1-1,NWd,1,1,co2,1.523790302,umol_m2_s1,14.88106974,0.002798028,29.1,22.5,4.1,NWd,FALSE
2023-06-07,NWd 1-1,NWd,1,1,ch4,-0.882721193,nmol_m2_s1,-0.008620501,0.00255861,29.1,22.5,4.1,NWd,FALSE
2023-06-07,NWd 1-1,NWd,1,1,n2o,0.03922907,nmol_m2_s1,3.83e-4,0.874174455,29.1,22.5,4.1,NWd,FALSE
2023-06-07,NWd 1-2,NWd,1,2,co2,1.459653325,umol_m2_s1,13.88805454,1.1e-4,28.3,22.7,5.3,NWd,FALSE
2023-06-07,NWd 1-2,NWd,1,2,ch4,-0.834405909,nmol_m2_s1,-0.00793906,0.135710631,28.3,22.7,5.3,NWd,FALSE
2023-06-07,NWd 1-2,NWd,1,2,n2o,0.190759239,nmol_m2_s1,0.001815003,0.105953581,28.3,22.7,5.3,NWd,FALSE
2023-06-07,NWd 1-3,NWd,1,3,co2,1.970074162,umol_m2_s1,18.17458621,1.32e-4,29,22.9,4.5,NWd,FALSE
2023-06-07,NWd 1-3,NWd,1,3,ch4,-1.125726755,nmol_m2_s1,-0.010385202,0.020909908,29,22.9,4.5,NWd,FALSE
2023-06-07,NWd 1-3,NWd,1,3,n2o,0.137594673,nmol_m2_s1,0.001269356,0.086722148,29,22.9,4.5,NWd,FALSE
2023-06-07,NWd 1-4,NWd,1,4,co2,2.16753699,umol_m2_s1,18.59051412,3.57e-6,26.4,22.6,4.9,NWd,FALSE
2023-06-07,NWd 1-4,NWd,1,4,ch4,-1.486243427,nmol_m2_s1,-0.012747201,6.12e-4,26.4,22.6,4.9,NWd,FALSE
2023-06-07,NWd 1-4,NWd,1,4,n2o,0.087446508,nmol_m2_s1,7.5e-4,0.095710949,26.4,22.6,4.9,NWd,FALSE
2023-06-07,NWd 2-1,NWd,2,1,co2,3.541007181,umol_m2_s1,25.55112836,4.7e-5,24.3,17.7,5.3,NWd,FALSE
2023-06-07,NWd 2-1,NWd,2,1,ch4,-2.290582131,nmol_m2_s1,-0.016528336,0.001579434,24.3,17.7,5.3,NWd,FALSE
2023-06-07,NWd 2-1,NWd,2,1,n2o,0.105922557,nmol_m2_s1,7.64e-4,0.335785415,24.3,17.7,5.3,NWd,FALSE
2023-06-07,NWd 2-2,NWd,2,2,co2,3.107567836,umol_m2_s1,24.06159789,1.39e-5,24.1,19.4,5.7,NWd,FALSE
2023-06-07,NWd 2-2,NWd,2,2,ch4,-1.373689471,nmol_m2_s1,-0.010636345,0.032612008,24.1,19.4,5.7,NWd,FALSE
2023-06-07,NWd 2-2,NWd,2,2,n2o,0.125328969,nmol_m2_s1,9.7e-4,0.244497362,24.1,19.4,5.7,NWd,FALSE
2023-06-07,NWd 2-3,NWd,2,3,co2,1.633925542,umol_m2_s1,16.52100003,0.002093459,24.6,18.3,3.7,NWd,FALSE
